ingroup_names,ETS,ITS,matK,trnDT,trnLF
C_absus,TRUE,TRUE,TRUE,TRUE,FALSE
C_acicularis,TRUE,TRUE,TRUE,TRUE,TRUE
C_acosmifolia,TRUE,TRUE,FALSE,TRUE,TRUE
C_adamantina,TRUE,TRUE,TRUE,TRUE,FALSE
C_adenophora,TRUE,TRUE,FALSE,TRUE,FALSE
C_adenophylla,TRUE,TRUE,FALSE,FALSE,TRUE
C_adiantifoliia,FALSE,TRUE,TRUE,TRUE,TRUE
C_altoana,FALSE,TRUE,FALSE,FALSE,TRUE
C_amiciella,TRUE,TRUE,FALSE,TRUE,TRUE
C_amorimii,TRUE,TRUE,TRUE,TRUE,TRUE
C_anamariae,TRUE,TRUE,TRUE,TRUE,TRUE
C_anceps,FALSE,FALSE,FALSE,TRUE,TRUE
C_andersonii,FALSE,TRUE,FALSE,TRUE,TRUE
C_andromedea,TRUE,TRUE,TRUE,TRUE,TRUE
C_anfracta,TRUE,TRUE,TRUE,TRUE,TRUE
C_arboae,TRUE,TRUE,FALSE,TRUE,TRUE
C_aristata,TRUE,TRUE,TRUE,TRUE,TRUE
C_arrojadoana,TRUE,TRUE,TRUE,TRUE,TRUE
C_aspleniifolia,TRUE,FALSE,TRUE,TRUE,TRUE
C_auris_zerdae,FALSE,TRUE,FALSE,FALSE,TRUE
C_aurivilla,FALSE,TRUE,TRUE,TRUE,TRUE
C_azulana,TRUE,TRUE,FALSE,TRUE,TRUE
C_bahiae,TRUE,TRUE,TRUE,TRUE,TRUE
C_barbata,TRUE,TRUE,FALSE,TRUE,TRUE
C_basifolia,TRUE,FALSE,FALSE,TRUE,TRUE
C_belemii,TRUE,TRUE,TRUE,TRUE,TRUE
C_belladonna,FALSE,TRUE,FALSE,FALSE,TRUE
C_benthamiana,TRUE,TRUE,TRUE,TRUE,TRUE
C_biensis,TRUE,FALSE,TRUE,FALSE,TRUE
C_blanchetii,TRUE,TRUE,FALSE,TRUE,TRUE
C_botryoides,TRUE,TRUE,FALSE,TRUE,TRUE
C_brachyblepharis,TRUE,TRUE,FALSE,TRUE,TRUE
C_brachyrachys,TRUE,TRUE,FALSE,FALSE,TRUE
C_brachystachya,TRUE,TRUE,TRUE,TRUE,TRUE
C_bracteolata,TRUE,TRUE,TRUE,TRUE,TRUE
C_brevicalyx,TRUE,TRUE,FALSE,TRUE,TRUE
C_bucherae,TRUE,TRUE,TRUE,TRUE,TRUE
C_burchelii,TRUE,TRUE,TRUE,TRUE,TRUE
C_caespitosa,TRUE,TRUE,FALSE,TRUE,TRUE
C_caiapo,TRUE,TRUE,FALSE,TRUE,TRUE
C_calycioides,FALSE,TRUE,FALSE,FALSE,TRUE
C_campestris,FALSE,TRUE,FALSE,TRUE,TRUE
C_campicola,TRUE,TRUE,FALSE,TRUE,TRUE
C_cardiostegia,TRUE,TRUE,TRUE,TRUE,TRUE
C_caribaea,TRUE,TRUE,FALSE,TRUE,TRUE
C_carobinha,TRUE,TRUE,TRUE,FALSE,TRUE
C_caspariifolia,TRUE,TRUE,FALSE,TRUE,TRUE
C_catapodia,TRUE,FALSE,FALSE,TRUE,TRUE
C_cathartica,TRUE,TRUE,TRUE,TRUE,TRUE
C_catharticoides,TRUE,FALSE,TRUE,FALSE,FALSE
C_cavalcantina,FALSE,TRUE,FALSE,FALSE,TRUE
C_celiae,FALSE,TRUE,FALSE,FALSE,TRUE
C_chaetostegia,FALSE,TRUE,FALSE,FALSE,TRUE
C_chapadae,TRUE,TRUE,TRUE,TRUE,FALSE
C_choriophylla,TRUE,TRUE,FALSE,TRUE,TRUE
C_chrysosepala,TRUE,TRUE,FALSE,TRUE,TRUE
C_ciliolata,TRUE,TRUE,TRUE,TRUE,TRUE
C_cinerascens,TRUE,TRUE,FALSE,TRUE,TRUE
C_claussenii,TRUE,TRUE,TRUE,TRUE,TRUE
C_compitalis,FALSE,TRUE,TRUE,TRUE,TRUE
C_conferta,TRUE,TRUE,TRUE,TRUE,TRUE
C_confertiformis,TRUE,TRUE,FALSE,FALSE,TRUE
C_coradinii,TRUE,TRUE,FALSE,TRUE,TRUE
C_coriacea,FALSE,TRUE,FALSE,FALSE,TRUE
C_cotinifolia,TRUE,TRUE,FALSE,TRUE,TRUE
C_crenulata,FALSE,TRUE,FALSE,FALSE,TRUE
C_cristalinae,TRUE,TRUE,FALSE,TRUE,TRUE
C_crommyotricha,TRUE,TRUE,FALSE,TRUE,TRUE
C_cultrifolia,TRUE,TRUE,FALSE,FALSE,FALSE
C_cytisoides,FALSE,TRUE,FALSE,TRUE,TRUE
C_dalbergiifolia,TRUE,TRUE,TRUE,TRUE,TRUE
C_dawsonii,FALSE,TRUE,FALSE,FALSE,TRUE
C_debilis,TRUE,TRUE,TRUE,TRUE,TRUE
C_decora,TRUE,TRUE,TRUE,TRUE,TRUE
C_decumbens,TRUE,TRUE,FALSE,TRUE,TRUE
C_densifolia,TRUE,TRUE,TRUE,TRUE,TRUE
C_dentata,FALSE,TRUE,FALSE,TRUE,TRUE
C_depauperata,FALSE,TRUE,FALSE,FALSE,TRUE
C_desvauxii,TRUE,TRUE,TRUE,TRUE,TRUE
C_detonsa,TRUE,TRUE,FALSE,TRUE,TRUE
C_didyma,TRUE,TRUE,FALSE,TRUE,TRUE
C_diphylla,TRUE,TRUE,TRUE,TRUE,TRUE
C_distichoclada,TRUE,TRUE,FALSE,TRUE,TRUE
C_duartei,TRUE,TRUE,TRUE,TRUE,TRUE
C_duckeana,TRUE,TRUE,FALSE,TRUE,TRUE
C_dumalis,TRUE,TRUE,FALSE,TRUE,TRUE
C_echinocarpa,TRUE,TRUE,FALSE,TRUE,TRUE
C_egleri,FALSE,TRUE,FALSE,TRUE,TRUE
C_elata,TRUE,TRUE,FALSE,FALSE,TRUE
C_ensiformis,TRUE,TRUE,TRUE,TRUE,TRUE
C_ericifolia,TRUE,TRUE,TRUE,TRUE,TRUE
C_fagonioides,TRUE,TRUE,TRUE,TRUE,TRUE
C_fasciculata,FALSE,TRUE,TRUE,FALSE,FALSE
C_feliciana,TRUE,TRUE,FALSE,FALSE,TRUE
C_filicifolia,TRUE,TRUE,TRUE,TRUE,TRUE
C_flammata,TRUE,TRUE,TRUE,FALSE,TRUE
C_flexuosa,TRUE,TRUE,TRUE,TRUE,TRUE
C_floribunda,TRUE,TRUE,FALSE,TRUE,TRUE
C_fodinarum,FALSE,FALSE,TRUE,FALSE,FALSE
C_foederalis,TRUE,FALSE,TRUE,TRUE,FALSE
C_geminata,TRUE,TRUE,FALSE,TRUE,TRUE
C_glandulosa,FALSE,FALSE,TRUE,TRUE,FALSE
C_glaucofilix,TRUE,TRUE,TRUE,TRUE,TRUE
C_glaziovii,TRUE,TRUE,FALSE,TRUE,FALSE
C_gonoclada,TRUE,TRUE,FALSE,TRUE,TRUE
C_grantii,FALSE,TRUE,FALSE,FALSE,TRUE
C_greggi,FALSE,FALSE,TRUE,TRUE,FALSE
C_gumminans,TRUE,TRUE,FALSE,TRUE,TRUE
C_gymnothyrsa,FALSE,TRUE,FALSE,FALSE,TRUE
C_harmsiana,FALSE,TRUE,FALSE,FALSE,TRUE
C_hedysaroides,TRUE,TRUE,TRUE,FALSE,TRUE
C_hispidula,TRUE,TRUE,TRUE,TRUE,TRUE
C_howardii,TRUE,TRUE,TRUE,TRUE,TRUE
C_huntii,FALSE,TRUE,FALSE,FALSE,TRUE
C_imbricans,TRUE,TRUE,FALSE,TRUE,TRUE
C_incurvata,TRUE,TRUE,TRUE,TRUE,TRUE
C_irwiniana,TRUE,TRUE,FALSE,FALSE,TRUE
C_isidorea,FALSE,TRUE,FALSE,FALSE,TRUE
C_jacobinea,FALSE,TRUE,TRUE,TRUE,TRUE
C_juruenensis,TRUE,FALSE,TRUE,TRUE,FALSE
C_kirkii,FALSE,TRUE,FALSE,TRUE,FALSE
C_kleinii,FALSE,TRUE,TRUE,FALSE,FALSE
C_kunthiana,FALSE,TRUE,TRUE,TRUE,TRUE
C_lagotois,TRUE,TRUE,TRUE,TRUE,TRUE
C_lamprosperma,TRUE,TRUE,TRUE,TRUE,TRUE
C_latifolia,TRUE,TRUE,FALSE,TRUE,TRUE
C_latistipula,TRUE,TRUE,TRUE,TRUE,TRUE
C_lavradiiflora,TRUE,TRUE,FALSE,TRUE,TRUE
C_leptadenia,FALSE,FALSE,TRUE,FALSE,FALSE
C_linearifolia,TRUE,FALSE,FALSE,TRUE,FALSE
C_lineata,TRUE,TRUE,TRUE,TRUE,TRUE
C_longicuspis,TRUE,TRUE,FALSE,FALSE,FALSE
C_longistyla,FALSE,TRUE,FALSE,FALSE,TRUE
C_lundii,TRUE,TRUE,FALSE,TRUE,TRUE
C_macedoi,FALSE,TRUE,FALSE,FALSE,TRUE
C_machaerifoliia,FALSE,TRUE,FALSE,FALSE,TRUE
C_megacycla,TRUE,FALSE,TRUE,FALSE,FALSE
C_microsenna,TRUE,FALSE,TRUE,TRUE,FALSE
C_mimosoides,TRUE,TRUE,TRUE,TRUE,TRUE
C_mollicaulis,TRUE,TRUE,TRUE,TRUE,TRUE
C_monticola,TRUE,TRUE,FALSE,TRUE,TRUE
C_mucronata,TRUE,TRUE,FALSE,TRUE,TRUE
C_multinervia,TRUE,FALSE,TRUE,TRUE,TRUE
C_multipennis,TRUE,TRUE,FALSE,TRUE,TRUE
C_multiseta,TRUE,TRUE,TRUE,TRUE,TRUE
C_myrophengens,TRUE,TRUE,FALSE,TRUE,TRUE
C_nanodes,TRUE,TRUE,FALSE,TRUE,TRUE
C_neesiana,TRUE,TRUE,FALSE,TRUE,TRUE
C_negrensis,TRUE,TRUE,TRUE,TRUE,TRUE
C_nictitans,FALSE,TRUE,TRUE,FALSE,TRUE
C_nigricans,FALSE,TRUE,FALSE,FALSE,TRUE
C_nuda,TRUE,FALSE,TRUE,TRUE,FALSE
C_nummulariifolia,TRUE,TRUE,TRUE,TRUE,TRUE
C_obolaria,TRUE,TRUE,FALSE,TRUE,TRUE
C_obtecta,FALSE,TRUE,FALSE,TRUE,TRUE
C_ochnacea,TRUE,TRUE,FALSE,TRUE,TRUE
C_ochrosperma,TRUE,TRUE,FALSE,TRUE,TRUE
C_olesiphylla,TRUE,TRUE,TRUE,TRUE,TRUE
C_oligandra,TRUE,TRUE,FALSE,TRUE,TRUE
C_oligosperma,TRUE,FALSE,TRUE,TRUE,FALSE
C_onusta,TRUE,TRUE,TRUE,TRUE,TRUE
C_oppositifolia,TRUE,FALSE,TRUE,TRUE,FALSE
C_orbiculata,TRUE,TRUE,TRUE,TRUE,TRUE
C_pachyclada,FALSE,TRUE,FALSE,FALSE,TRUE
C_paniculata,TRUE,TRUE,FALSE,TRUE,TRUE
C_paraunana,TRUE,TRUE,FALSE,TRUE,TRUE
C_parvistipula,TRUE,TRUE,FALSE,TRUE,TRUE
C_pascuorum,TRUE,TRUE,TRUE,TRUE,TRUE
C_petiolata,TRUE,FALSE,TRUE,TRUE,TRUE
C_philippi,TRUE,TRUE,FALSE,TRUE,TRUE
C_phyllostachya,FALSE,TRUE,TRUE,TRUE,TRUE
C_pilosa,TRUE,TRUE,TRUE,TRUE,TRUE
C_planaltoana,TRUE,TRUE,TRUE,TRUE,TRUE
C_planifolia,TRUE,TRUE,FALSE,TRUE,TRUE
C_pohliana,TRUE,FALSE,FALSE,TRUE,TRUE
C_polita,TRUE,TRUE,FALSE,TRUE,TRUE
C_polymorpha,TRUE,TRUE,FALSE,TRUE,TRUE
C_polystachya,FALSE,TRUE,TRUE,TRUE,TRUE
C_potentilla,TRUE,TRUE,TRUE,TRUE,TRUE
C_pumila,FALSE,TRUE,FALSE,FALSE,TRUE
C_punctata,TRUE,FALSE,FALSE,TRUE,FALSE
C_punctulata,TRUE,TRUE,TRUE,TRUE,TRUE
C_punctulifera,TRUE,FALSE,FALSE,TRUE,FALSE
C_ramosa,FALSE,TRUE,TRUE,TRUE,TRUE
C_repens,TRUE,TRUE,FALSE,TRUE,TRUE
C_roncadorensis,FALSE,TRUE,TRUE,TRUE,TRUE
C_roraimae,TRUE,TRUE,TRUE,TRUE,TRUE
C_rossicorum,TRUE,TRUE,FALSE,TRUE,TRUE
C_rotundata,TRUE,TRUE,FALSE,TRUE,TRUE
C_rotundifolia,TRUE,TRUE,FALSE,TRUE,TRUE
C_rufa,FALSE,FALSE,TRUE,TRUE,FALSE
C_rupertiana,TRUE,TRUE,TRUE,TRUE,FALSE
C_rupestrium,FALSE,TRUE,TRUE,TRUE,TRUE
C_salvatoris,TRUE,TRUE,TRUE,FALSE,FALSE
C_scabra,TRUE,TRUE,FALSE,TRUE,TRUE
C_scleroxylon,TRUE,TRUE,TRUE,TRUE,TRUE
C_secunda,FALSE,TRUE,FALSE,FALSE,TRUE
C_serpens,TRUE,FALSE,TRUE,FALSE,TRUE
C_setosa,FALSE,TRUE,TRUE,TRUE,TRUE
C_simplifacta,TRUE,TRUE,TRUE,TRUE,TRUE
C_sincorana,TRUE,TRUE,TRUE,TRUE,TRUE
C_sophoroides,TRUE,FALSE,TRUE,TRUE,FALSE
C_souzana,TRUE,TRUE,FALSE,TRUE,TRUE
C_sparsifolia,FALSE,TRUE,FALSE,FALSE,TRUE
C_speciosa,FALSE,TRUE,FALSE,FALSE,TRUE
C_spodiotricha,TRUE,TRUE,TRUE,TRUE,FALSE
C_stillifera,TRUE,TRUE,TRUE,TRUE,TRUE
C_strictifolia,TRUE,TRUE,TRUE,TRUE,TRUE
C_strictula,TRUE,TRUE,TRUE,TRUE,TRUE
C_supplex,TRUE,TRUE,FALSE,TRUE,TRUE
C_swainsonii,TRUE,TRUE,FALSE,TRUE,TRUE
C_tenuicaulis,FALSE,TRUE,FALSE,FALSE,TRUE
C_tenuisepala,TRUE,TRUE,FALSE,TRUE,TRUE
C_tephrosiifolia,TRUE,FALSE,TRUE,TRUE,FALSE
C_tocantinensis,TRUE,TRUE,FALSE,FALSE,TRUE
C_tragacanthoides,TRUE,TRUE,TRUE,TRUE,TRUE
C_trichopoda,TRUE,TRUE,FALSE,TRUE,TRUE
C_ulmea,TRUE,TRUE,FALSE,TRUE,TRUE
C_unijuga,FALSE,TRUE,FALSE,FALSE,TRUE
C_urophyllidia,TRUE,TRUE,TRUE,TRUE,TRUE
C_ursina,TRUE,TRUE,TRUE,TRUE,TRUE
C_ustulata,TRUE,TRUE,TRUE,TRUE,TRUE
C_vauthieri,TRUE,TRUE,FALSE,TRUE,TRUE
C_venatoria,FALSE,TRUE,FALSE,FALSE,TRUE
C_venulosa,TRUE,TRUE,FALSE,TRUE,TRUE
C_verruculosa,TRUE,TRUE,FALSE,TRUE,TRUE
C_viscosa,TRUE,TRUE,TRUE,TRUE,TRUE
C_wittei,TRUE,FALSE,TRUE,TRUE,FALSE
C_xanthadena,TRUE,FALSE,TRUE,TRUE,FALSE
C_xinguensis,TRUE,TRUE,TRUE,TRUE,TRUE
C_zygophylloides,TRUE,TRUE,TRUE,TRUE,TRUE
